;preposition;Example;regular/irregular;Presente;;;;;;Pretérito Perfeito;;;;;;Pretérito Imperfeito;;;;;;Pretérito mais-que-perfeito;;;;;;Futuro do Presente;;;;;;Subjuntivo Presente;;;;;;Subjuntivo Pretérito Imperfeito;;;;;;Subjuntivo Futuro;;;;;;Infinitivo Pessoal;;;;;;Futuro do Pretérito;;;;;;Imperativo Afirmativo;;;;;Imperativo Negativo;;;;;Gerúndio;Particípio passado
desistir;;;R;desisto;desistes;desiste;desistimos;desistis;desistem;desisti;desististe;desistiu;desistimos;desististes;desistiram;desistia;desistias;desistia;desistíamos;desistíeis;desistiam;desistira;desistiras;desistira;desistíramos;desistíreis;desistiram;desistirei;desistirás;desistirá;desistiremos;desistireis;desistirão;desista;desistas;desista;desistamos;desistais;desistam;desistisse;desistisses;desistisse;desistíssemos;desistísseis;desistissem;desistir;desistires;desistir;desistirmos;desistirdes;desistirem;desistir;desistires;desistir;desistirmos;desistirdes;desistirem;desistiria;desistirias;desistiria;desistiríamos;desistiríeis;desistiriam;desiste;desista;desistamos;desisti;desistam;desistas;desista;desistamos;desistais;desistam;desistindo;desistido
descansar;;;R;descanso;descansas;descansa;descansamos;descansais;descansam;descansei;descansaste;descansou;descansámos;descansastes;descansaram;descansava;descansavas;descansava;descansávamos;descansáveis;descansavam;descansara;descansaras;descansara;descansáramos;descansáreis;descansaram;descansarei;descansarás;descansará;descansaremos;descansareis;descansarão;descanse;descanses;descanse;descansemos;descanseis;descansem;descansasse;descansasses;descansasse;descansássemos;descansásseis;descansassem;descansar;descansares;descansar;descansarmos;descansardes;descansarem;descansar;descansares;descansar;descansarmos;descansardes;descansarem;descansaria;descansarias;descansaria;descansaríamos;descansaríeis;descansariam;descansa;descanse;descansemos;descansai;descansem;descanses;descanse;descansemos;descanseis;descansem;descansando;descansado
passear;;;I;passeio;passeias;passeia;passeamos;passeais;passeiam;passeei;passeaste;passeou;passeámos;passeastes;passearam;passeava;passeavas;passeava;passeávamos;passeáveis;passeavam;passeara;passearas;passeara;passeáramos;passeáreis;passearam;passearei;passearás;passeará;passearemos;passeareis;passearão;passeie;passeies;passeie;passeemos;passeeis;passeiem;passeasse;passeasses;passeasse;passeássemos;passeásseis;passeassem;passear;passeares;passear;passearmos;passeardes;passearem;passear;passeares;passear;passearmos;passeardes;passearem;passearia;passearias;passearia;passearíamos;passearíeis;passeariam;passeia;passeie;passeemos;passeai;passeiem;passeies;passeie;passeemos;passeeis;passeiem;passeando;passeado
confiar;;;R;confio;confias;confia;confiamos;confiais;confiam;confiei;confiaste;confiou;confiámos;confiastes;confiaram;confiava;confiavas;confiava;confiávamos;confiáveis;confiavam;confiara;confiaras;confiara;confiáramos;confiáreis;confiaram;confiarei;confiarás;confiará;confiaremos;confiareis;confiarão;confie;confies;confie;confiemos;confieis;confiem;confiasse;confiasses;confiasse;confiássemos;confiásseis;confiassem;confiar;confiares;confiar;confiarmos;confiardes;confiarem;confiar;confiares;confiar;confiarmos;confiardes;confiarem;confiaria;confiarias;confiaria;confiaríamos;confiaríeis;confiariam;confia;confie;confiemos;confiai;confiem;confies;confie;confiemos;confieis;confiem;confiando;confiado
adormecer;;;R;adormeço;adormeces;adormece;adormecemos;adormeceis;adormecem;adormeci;adormeceste;adormeceu;adormecemos;adormecestes;adormeceram;adormecia;adormecias;adormecia;adormecíamos;adormecíeis;adormeciam;adormecera;adormeceras;adormecera;adormecêramos;adormecêreis;adormeceram;adormecerei;adormecerás;adormecerá;adormeceremos;adormecereis;adormecerão;adormeça;adormeças;adormeça;adormeçamos;adormeçais;adormeçam;adormecesse;adormecesses;adormecesse;adormecêssemos;adormecêsseis;adormecessem;adormecer;adormeceres;adormecer;adormecermos;adormecerdes;adormecerem;adormecer;adormeceres;adormecer;adormecermos;adormecerdes;adormecerem;adormeceria;adormecerias;adormeceria;adormeceríamos;adormeceríeis;adormeceriam;adormece;adormeça;adormeçamos;adormecei;adormeçam;adormeças;adormeça;adormeçamos;adormeçais;adormeçam;adormecendo;adormecido
ressaltar;;;R;ressalto;ressaltas;ressalta;ressaltamos;ressaltais;ressaltam;ressaltei;ressaltaste;ressaltou;ressaltámos;ressaltastes;ressaltaram;ressaltava;ressaltavas;ressaltava;ressaltávamos;ressaltáveis;ressaltavam;ressaltara;ressaltaras;ressaltara;ressaltáramos;ressaltáreis;ressaltaram;ressaltarei;ressaltarás;ressaltará;ressaltaremos;ressaltareis;ressaltarão;ressalte;ressaltes;ressalte;ressaltemos;ressalteis;ressaltem;ressaltasse;ressaltasses;ressaltasse;ressaltássemos;ressaltásseis;ressaltassem;ressaltar;ressaltares;ressaltar;ressaltarmos;ressaltardes;ressaltarem;ressaltar;ressaltares;ressaltar;ressaltarmos;ressaltardes;ressaltarem;ressaltaria;ressaltarias;ressaltaria;ressaltaríamos;ressaltaríeis;ressaltariam;ressalta;ressalte;ressaltemos;ressaltai;ressaltem;ressaltes;ressalte;ressaltemos;ressalteis;ressaltem;ressaltando;ressaltado
destinar;;;R;destino;destinas;destina;destinamos;destinais;destinam;destinei;destinaste;destinou;destinámos;destinastes;destinaram;destinava;destinavas;destinava;destinávamos;destináveis;destinavam;destinara;destinaras;destinara;destináramos;destináreis;destinaram;destinarei;destinarás;destinará;destinaremos;destinareis;destinarão;destine;destines;destine;destinemos;destineis;destinem;destinasse;destinasses;destinasse;destinássemos;destinásseis;destinassem;destinar;destinares;destinar;destinarmos;destinardes;destinarem;destinar;destinares;destinar;destinarmos;destinardes;destinarem;destinaria;destinarias;destinaria;destinaríamos;destinaríeis;destinariam;destina;destine;destinemos;destinai;destinem;destines;destine;destinemos;destineis;destinem;destinando;destinado
retornar;;;R;retorno;retornas;retorna;retornamos;retornais;retornam;retornei;retornaste;retornou;retornámos;retornastes;retornaram;retornava;retornavas;retornava;retornávamos;retornáveis;retornavam;retornara;retornaras;retornara;retornáramos;retornáreis;retornaram;retornarei;retornarás;retornará;retornaremos;retornareis;retornarão;retorne;retornes;retorne;retornemos;retorneis;retornem;retornasse;retornasses;retornasse;retornássemos;retornásseis;retornassem;retornar;retornares;retornar;retornarmos;retornardes;retornarem;retornar;retornares;retornar;retornarmos;retornardes;retornarem;retornaria;retornarias;retornaria;retornaríamos;retornaríeis;retornariam;retorna;retorne;retornemos;retornai;retornem;retornes;retorne;retornemos;retorneis;retornem;retornando;retornado
conceber;;;R;concebo;concebes;concebe;concebemos;concebeis;concebem;concebi;concebeste;concebeu;concebemos;concebestes;conceberam;concebia;concebias;concebia;concebíamos;concebíeis;concebiam;concebera;conceberas;concebera;concebêramos;concebêreis;conceberam;conceberei;conceberás;conceberá;conceberemos;concebereis;conceberão;conceba;concebas;conceba;concebamos;concebais;concebam;concebesse;concebesses;concebesse;concebêssemos;concebêsseis;concebessem;conceber;conceberes;conceber;concebermos;conceberdes;conceberem;conceber;conceberes;conceber;concebermos;conceberdes;conceberem;conceberia;conceberias;conceberia;conceberíamos;conceberíeis;conceberiam;concebe;conceba;concebamos;concebei;concebam;concebas;conceba;concebamos;concebais;concebam;concebendo;concebido
apreciar;;;R;aprecio;aprecias;aprecia;apreciamos;apreciais;apreciam;apreciei;apreciaste;apreciou;apreciámos;apreciastes;apreciaram;apreciava;apreciavas;apreciava;apreciávamos;apreciáveis;apreciavam;apreciara;apreciaras;apreciara;apreciáramos;apreciáreis;apreciaram;apreciarei;apreciarás;apreciará;apreciaremos;apreciareis;apreciarão;aprecie;aprecies;aprecie;apreciemos;aprecieis;apreciem;apreciasse;apreciasses;apreciasse;apreciássemos;apreciásseis;apreciassem;apreciar;apreciares;apreciar;apreciarmos;apreciardes;apreciarem;apreciar;apreciares;apreciar;apreciarmos;apreciardes;apreciarem;apreciaria;apreciarias;apreciaria;apreciaríamos;apreciaríeis;apreciariam;aprecia;aprecie;apreciemos;apreciai;apreciem;aprecies;aprecie;apreciemos;aprecieis;apreciem;apreciando;apreciado
argumentar;;;R;argumento;argumentas;argumenta;argumentamos;argumentais;argumentam;argumentei;argumentaste;argumentou;argumentámos;argumentastes;argumentaram;argumentava;argumentavas;argumentava;argumentávamos;argumentáveis;argumentavam;argumentara;argumentaras;argumentara;argumentáramos;argumentáreis;argumentaram;argumentarei;argumentarás;argumentará;argumentaremos;argumentareis;argumentarão;argumente;argumentes;argumente;argumentemos;argumenteis;argumentem;argumentasse;argumentasses;argumentasse;argumentássemos;argumentásseis;argumentassem;argumentar;argumentares;argumentar;argumentarmos;argumentardes;argumentarem;argumentar;argumentares;argumentar;argumentarmos;argumentardes;argumentarem;argumentaria;argumentarias;argumentaria;argumentaríamos;argumentaríeis;argumentariam;argumenta;argumente;argumentemos;argumentai;argumentem;argumentes;argumente;argumentemos;argumenteis;argumentem;argumentando;argumentado
recuar;;;R;recuo;recuas;recua;recuamos;recuais;recuam;recuei;recuaste;recuou;recuámos;recuastes;recuaram;recuava;recuavas;recuava;recuávamos;recuáveis;recuavam;recuara;recuaras;recuara;recuáramos;recuáreis;recuaram;recuarei;recuarás;recuará;recuaremos;recuareis;recuarão;recue;recues;recue;recuemos;recueis;recuem;recuasse;recuasses;recuasse;recuássemos;recuásseis;recuassem;recuar;recuares;recuar;recuarmos;recuardes;recuarem;recuar;recuares;recuar;recuarmos;recuardes;recuarem;recuaria;recuarias;recuaria;recuaríamos;recuaríeis;recuariam;recua;recue;recuemos;recuai;recuem;recues;recue;recuemos;recueis;recuem;recuando;recuado
confundir;;;R;confundo;confundes;confunde;confundimos;confundis;confundem;confundi;confundiste;confundiu;confundimos;confundistes;confundiram;confundia;confundias;confundia;confundíamos;confundíeis;confundiam;confundira;confundiras;confundira;confundíramos;confundíreis;confundiram;confundirei;confundirás;confundirá;confundiremos;confundireis;confundirão;confunda;confundas;confunda;confundamos;confundais;confundam;confundisse;confundisses;confundisse;confundíssemos;confundísseis;confundissem;confundir;confundires;confundir;confundirmos;confundirdes;confundirem;confundir;confundires;confundir;confundirmos;confundirdes;confundirem;confundiria;confundirias;confundiria;confundiríamos;confundiríeis;confundiriam;confunde;confunda;confundamos;confundi;confundam;confundas;confunda;confundamos;confundais;confundam;confundindo;confundido
forçar;;;R;forço;forças;força;forçamos;forçais;forçam;forcei;forçaste;forçou;forcámos;forçastes;forçaram;forçava;forçavas;forçava;forcávamos;forcáveis;forçavam;forçara;forçaras;forçara;forcáramos;forcáreis;forçaram;forçarei;forçarás;forçará;forçaremos;forçareis;forçarão;force;forces;force;forcemos;forceis;forcem;forçasse;forçasses;forçasse;forcássemos;forcásseis;forçassem;forçar;forçares;forçar;forçarmos;forçardes;forçarem;forçar;forçares;forçar;forçarmos;forçardes;forçarem;forçaria;forçarias;forçaria;forçaríamos;forçaríeis;forçariam;força;force;forcemos;forçai;forcem;forces;force;forcemos;forceis;forcem;forçando;forçado
respirar;;;R;respiro;respiras;respira;respiramos;respirais;respiram;respirei;respiraste;respirou;respirámos;respirastes;respiraram;respirava;respiravas;respirava;respirávamos;respiráveis;respiravam;respirara;respiraras;respirara;respiráramos;respiráreis;respiraram;respirarei;respirarás;respirará;respiraremos;respirareis;respirarão;respire;respires;respire;respiremos;respireis;respirem;respirasse;respirasses;respirasse;respirássemos;respirásseis;respirassem;respirar;respirares;respirar;respirarmos;respirardes;respirarem;respirar;respirares;respirar;respirarmos;respirardes;respirarem;respiraria;respirarias;respiraria;respiraríamos;respiraríeis;respirariam;respira;respire;respiremos;respirai;respirem;respires;respire;respiremos;respireis;respirem;respirando;respirado
submeter;;;R;submeto;submetes;submete;submetemos;submeteis;submetem;submeti;submeteste;submeteu;submetemos;submetestes;submeteram;submetia;submetias;submetia;submetíamos;submetíeis;submetiam;submetera;submeteras;submetera;submetêramos;submetêreis;submeteram;submeterei;submeterás;submeterá;submeteremos;submetereis;submeterão;submeta;submetas;submeta;submetamos;submetais;submetam;submetesse;submetesses;submetesse;submetêssemos;submetêsseis;submetessem;submeter;submeteres;submeter;submetermos;submeterdes;submeterem;submeter;submeteres;submeter;submetermos;submeterdes;submeterem;submeteria;submeterias;submeteria;submeteríamos;submeteríeis;submeteriam;submete;submeta;submetamos;submetei;submetam;submetas;submeta;submetamos;submetais;submetam;submetendo;submetido
localizar;;;R;localizo;localizas;localiza;localizamos;localizais;localizam;localizei;localizaste;localizou;localizámos;localizastes;localizaram;localizava;localizavas;localizava;localizávamos;localizáveis;localizavam;localizara;localizaras;localizara;localizáramos;localizáreis;localizaram;localizarei;localizarás;localizará;localizaremos;localizareis;localizarão;localize;localizes;localize;localizemos;localizeis;localizem;localizasse;localizasses;localizasse;localizássemos;localizásseis;localizassem;localizar;localizares;localizar;localizarmos;localizardes;localizarem;localizar;localizares;localizar;localizarmos;localizardes;localizarem;localizaria;localizarias;localizaria;localizaríamos;localizaríeis;localizariam;localiza;localize;localizemos;localizai;localizem;localizes;localize;localizemos;localizeis;localizem;localizando;localizado
absorver;;;R;absorvo;absorves;absorve;absorvemos;absorveis;absorvem;absorvi;absorveste;absorveu;absorvemos;absorvestes;absorveram;absorvia;absorvias;absorvia;absorvíamos;absorvíeis;absorviam;absorvera;absorveras;absorvera;absorvêramos;absorvêreis;absorveram;absorverei;absorverás;absorverá;absorveremos;absorvereis;absorverão;absorva;absorvas;absorva;absorvamos;absorvais;absorvam;absorvesse;absorvesses;absorvesse;absorvêssemos;absorvêsseis;absorvessem;absorver;absorveres;absorver;absorvermos;absorverdes;absorverem;absorver;absorveres;absorver;absorvermos;absorverdes;absorverem;absorveria;absorverias;absorveria;absorveríamos;absorveríeis;absorveriam;absorve;absorva;absorvamos;absorvei;absorvam;absorvas;absorva;absorvamos;absorvais;absorvam;absorvendo;absorvido
presidir;;;R;presido;presides;preside;presidimos;presidis;presidem;presidi;presidiste;presidiu;presidimos;presidistes;presidiram;presidia;presidias;presidia;presidíamos;presidíeis;presidiam;presidira;presidiras;presidira;presidíramos;presidíreis;presidiram;presidirei;presidirás;presidirá;presidiremos;presidireis;presidirão;presida;presidas;presida;presidamos;presidais;presidam;presidisse;presidisses;presidisse;presidíssemos;presidísseis;presidissem;presidir;presidires;presidir;presidirmos;presidirdes;presidirem;presidir;presidires;presidir;presidirmos;presidirdes;presidirem;presidiria;presidirias;presidiria;presidiríamos;presidiríeis;presidiriam;preside;presida;presidamos;presidi;presidam;presidas;presida;presidamos;presidais;presidam;presidindo;presidido
abranger;;;R;abranjo;abranges;abrange;abrangemos;abrangeis;abrangem;abrangi;abrangeste;abrangeu;abrangemos;abrangestes;abrangeram;abrangia;abrangias;abrangia;abrangíamos;abrangíeis;abrangiam;abrangera;abrangeras;abrangera;abrangêramos;abrangêreis;abrangeram;abrangerei;abrangerás;abrangerá;abrangeremos;abrangereis;abrangerão;abranja;abranjas;abranja;abranjamos;abranjais;abranjam;abrangesse;abrangesses;abrangesse;abrangêssemos;abrangêsseis;abrangessem;abranger;abrangeres;abranger;abrangermos;abrangerdes;abrangerem;abranger;abrangeres;abranger;abrangermos;abrangerdes;abrangerem;abrangeria;abrangerias;abrangeria;abrangeríamos;abrangeríeis;abrangeriam;abrange;abranja;abranjamos;abrangei;abranjam;abranjas;abranja;abranjamos;abranjais;abranjam;abrangendo;abrangido
abordar;;;R;abordo;abordas;aborda;abordamos;abordais;abordam;abordei;abordaste;abordou;abordámos;abordastes;abordaram;abordava;abordavas;abordava;abordávamos;abordáveis;abordavam;abordara;abordaras;abordara;abordáramos;abordáreis;abordaram;abordarei;abordarás;abordará;abordaremos;abordareis;abordarão;aborde;abordes;aborde;abordemos;abordeis;abordem;abordasse;abordasses;abordasse;abordássemos;abordásseis;abordassem;abordar;abordares;abordar;abordarmos;abordardes;abordarem;abordar;abordares;abordar;abordarmos;abordardes;abordarem;abordaria;abordarias;abordaria;abordaríamos;abordaríeis;abordariam;aborda;aborde;abordemos;abordai;abordem;abordes;aborde;abordemos;abordeis;abordem;abordando;abordado
